reservation_id,price,room_type,room_shared,person_capacity,cleanliness_rating,guest_satisfaction_overall,bedrooms,city_center_distance,metro_distance,city_name
1692,190.9005629,Entire home/apt,FALSE,4,9,97,2,6.577153558,5.553985918,lisbon
1693,221.8574109,Entire home/apt,FALSE,4,10,92,1,0.916621373,0.646395323,lisbon
1694,106.2382739,Private room,FALSE,2,10,96,1,1.144982414,0.66961107,lisbon
1695,165.3377111,Entire home/apt,FALSE,2,10,80,1,0.88038992,0.595756357,lisbon
1696,389.7748593,Entire home/apt,FALSE,6,10,98,3,1.277620491,0.146825414,lisbon
1697,112.1013133,Private room,FALSE,2,9,95,1,2.028727762,0.454617387,lisbon
1698,284.2401501,Entire home/apt,FALSE,2,10,98,1,1.128578676,0.610033805,lisbon
1699,239.4465291,Entire home/apt,FALSE,4,10,94,1,0.761094418,0.653920163,lisbon
1700,227.7204503,Entire home/apt,FALSE,4,10,100,1,0.785835525,0.657423526,lisbon
1701,374.7654784,Entire home/apt,FALSE,4,10,99,2,1.172166571,0.942503887,lisbon
1702,123.8273921,Private room,FALSE,2,10,95,1,2.075678025,0.335456189,lisbon
1703,343.5741088,Entire home/apt,FALSE,4,10,90,1,1.017342207,0.704447947,lisbon
1704,198.8742964,Entire home/apt,FALSE,2,8,67,1,1.450929777,0.349058634,lisbon
1705,158.5365854,Private room,FALSE,2,10,80,1,2.130311243,0.263091892,lisbon
1706,233.8180113,Entire home/apt,FALSE,2,9,89,1,1.433049269,0.662200534,lisbon
1707,233.5834897,Entire home/apt,FALSE,4,9,80,1,1.018298595,0.262459377,lisbon
1708,459.1932458,Entire home/apt,FALSE,5,10,98,2,0.844276336,0.59444945,lisbon
1709,185.0375235,Entire home/apt,FALSE,2,10,95,1,1.413295143,0.284651587,lisbon
1710,199.108818,Entire home/apt,FALSE,3,10,97,1,1.413306154,0.284657047,lisbon
1711,233.5834897,Entire home/apt,FALSE,4,10,95,1,0.845010395,0.620944535,lisbon
1712,291.5103189,Entire home/apt,FALSE,4,10,90,1,1.194802239,0.798432773,lisbon
1713,283.5365854,Entire home/apt,FALSE,6,9,79,2,0.769789188,0.602195835,lisbon
1714,210.3658537,Entire home/apt,FALSE,6,9,90,2,0.847675145,0.698593369,lisbon
