reservation_id,price,room_type,room_shared,person_capacity,cleanliness_rating,guest_satisfaction_overall,bedrooms,city_center_distance,metro_distance,city_name
0,536.3966819,Entire home/apt,FALSE,5,9,89,1,1.351201218,0.21234554,paris
1,290.1015938,Private room,FALSE,2,10,97,1,0.699821242,0.193710312,paris
2,445.7544972,Entire home/apt,FALSE,4,10,100,1,0.968981736,0.29434293,paris
3,211.3430888,Private room,FALSE,2,10,94,1,3.302318645,0.234739713,paris
4,266.3342343,Entire home/apt,FALSE,2,9,88,1,1.40242978,0.055051931,paris
5,345.0927393,Entire home/apt,FALSE,2,9,91,1,0.547570533,0.196005507,paris
6,387.0351384,Entire home/apt,FALSE,2,10,96,1,0.882416897,0.154328218,paris
7,247.9261814,Entire home/apt,FALSE,4,7,82,1,1.197919857,0.103604592,paris
8,527.0761488,Entire home/apt,FALSE,4,10,93,1,1.543202895,0.549118407,paris
9,193.6340759,Private room,FALSE,2,10,90,1,3.998175151,0.415837459,paris
10,207.1488489,Entire home/apt,FALSE,2,10,95,1,1.425283941,0.207395358,paris
11,345.0927393,Entire home/apt,FALSE,2,9,94,0,1.77103036,0.210669502,paris
12,263.7710877,Entire home/apt,FALSE,2,9,89,0,1.326504787,0.164253907,paris
13,242.7998882,Private room,FALSE,2,10,97,1,1.073617391,0.139360254,paris
14,382.1418585,Private room,FALSE,2,10,90,1,1.550710333,0.187702514,paris
15,372.8213254,Entire home/apt,FALSE,2,9,87,1,1.692704376,0.177785008,paris
16,484.2016963,Entire home/apt,FALSE,2,10,96,1,0.823288131,0.239297187,paris
17,435.5019107,Entire home/apt,FALSE,4,9,80,1,1.242288219,0.069535572,paris
18,509.8331625,Entire home/apt,FALSE,4,10,93,1,3.250969228,0.220126828,paris
19,318.2962065,Entire home/apt,FALSE,2,9,94,0,1.090576485,0.193042896,paris
20,394.7245782,Entire home/apt,FALSE,2,9,89,1,1.006393824,0.326436078,paris
21,287.0724205,Private room,FALSE,2,10,94,1,2.261277593,0.11183621,paris
22,305.7134868,Private room,FALSE,2,9,83,1,2.052144497,0.082251214,paris
23,866.8095815,Entire home/apt,FALSE,6,10,88,2,1.188616562,0.148960612,paris
24,866.8095815,Entire home/apt,FALSE,6,10,89,2,1.374388776,0.114567378,paris
25,373.986392,Entire home/apt,FALSE,2,10,98,1,1.865736583,0.266650529,paris
26,287.3054339,Entire home/apt,FALSE,2,9,91,1,1.27130547,0.196973094,paris
27,382.1418585,Entire home/apt,FALSE,4,10,97,1,1.540128446,0.085451751,paris
28,426.4143909,Entire home/apt,FALSE,3,9,97,2,1.735088668,0.326871572,paris
29,486.5318296,Entire home/apt,FALSE,4,9,95,0,0.321039921,0.312984948,paris
30,169.633703,Entire home/apt,FALSE,2,10,95,0,0.943180199,0.366733008,paris
31,289.4025538,Entire home/apt,FALSE,2,8,88,0,0.798818033,0.257349665,paris
