reservation_id,price,room_type,room_shared,person_capacity,cleanliness_rating,guest_satisfaction_overall,bedrooms,city_center_distance,metro_distance,city_name
0,121.1223218,Private room,FALSE,2,6,69,1,5.734116657,0.43709398,london
1,195.9124156,Private room,FALSE,2,10,96,1,4.788905047,1.464050477,london
2,193.3253369,Private room,FALSE,3,10,95,1,4.596677136,0.45030619,london
3,180.3899433,Private room,FALSE,2,9,87,1,2.054769149,0.132670489,london
4,405.7009807,Entire home/apt,FALSE,3,7,65,0,4.491276914,0.354107529,london
5,354.1945954,Entire home/apt,FALSE,2,9,93,0,4.467894005,0.350749431,london
6,430.395823,Private room,FALSE,2,10,97,1,1.787295138,0.2538267,london
7,244.8317223,Private room,FALSE,2,9,88,1,2.430836136,0.546798608,london
8,438.1570592,Entire home/apt,FALSE,4,9,87,1,1.490442053,0.126230054,london
9,128.8835579,Private room,FALSE,2,10,97,1,12.80667332,5.292437862,london
10,315.6236036,Entire home/apt,FALSE,4,8,89,2,7.723490576,1.292701218,london
11,567.0406171,Entire home/apt,FALSE,2,10,98,1,5.301028573,1.588976258,london
12,159.6933136,Private room,FALSE,2,10,98,1,5.502306364,0.730634303,london
13,152.1672664,Private room,FALSE,2,10,98,1,6.871355187,0.475542764,london
14,85.13840871,Private room,FALSE,2,10,100,1,15.97860308,5.743829006,london
15,1133.846045,Entire home/apt,FALSE,6,9,93,3,3.409038036,0.177900293,london
16,132.6465815,Private room,FALSE,2,10,98,1,8.252562744,3.090115613,london
17,296.5732966,Private room,FALSE,2,10,99,1,2.198941137,0.379274823,london
18,335.1442884,Private room,FALSE,2,10,96,1,2.322966642,0.453173852,london
19,348.079682,Private room,FALSE,2,10,97,1,2.712212673,0.359782541,london
20,618.3118135,Entire home/apt,FALSE,2,10,99,1,3.188432978,0.502466591,london
21,232.1315177,Private room,FALSE,2,5,70,1,6.599720666,1.622318595,london
22,185.5641008,Private room,FALSE,2,9,93,1,6.72610622,1.720584616,london
23,219.1961241,Entire home/apt,FALSE,2,9,91,1,5.367969603,0.464829507,london
24,538.5827512,Entire home/apt,FALSE,4,10,98,2,4.729047653,0.483264123,london
25,116.1833533,Private room,FALSE,2,10,97,1,9.241976415,5.420590901,london
26,128.8835579,Private room,FALSE,2,10,95,1,13.92965234,4.965367033,london
27,141.8189515,Private room,FALSE,2,10,97,1,7.398967858,3.263459501,london
28,225.5462264,Private room,FALSE,2,10,99,1,5.707848381,1.723960193,london
29,203.6736518,Entire home/apt,FALSE,4,10,93,0,5.806479788,0.148016431,london
30,281.0508243,Private room,FALSE,3,9,98,1,3.257927659,0.82539952,london
31,142.0541405,Private room,FALSE,2,10,98,1,11.90971188,6.710908979,london
32,177.8028646,Private room,FALSE,2,10,96,1,7.821555566,0.458940988,london
33,128.8835579,Private room,FALSE,2,10,100,1,10.93354356,3.84248922,london
34,1339.871587,Private room,FALSE,2,10,97,1,9.751789564,0.358690162,london
35,322.2088948,Private room,FALSE,2,10,98,1,5.173375202,1.348299068,london
36,199.6754392,Private room,FALSE,2,8,80,1,1.251557998,0.267621162,london
37,398.1749336,Private room,FALSE,2,8,80,1,1.495254301,0.124382471,london
38,72.20301512,Shared room,TRUE,2,9,91,1,5.930434317,0.68284077,london
39,168.8656836,Private room,FALSE,2,10,97,1,4.421775755,0.478959279,london
40,264.1172182,Private room,FALSE,2,9,94,0,4.557290451,0.333525341,london
41,139.4670618,Private room,FALSE,2,9,90,1,5.317811872,0.103249436,london
42,125.5909123,Private room,FALSE,2,9,89,1,5.317800248,0.103262272,london
43,208.8478092,Private room,FALSE,2,8,80,1,2.061645584,0.440254709,london
44,238.48162,Private room,FALSE,2,10,100,1,5.08573106,1.806239098,london
45,90.31256615,Private room,FALSE,2,10,100,1,4.010848744,1.669445804,london
46,212.6108328,Private room,FALSE,3,9,93,1,5.0202504,0.69655182,london
47,425.2216656,Private room,FALSE,2,10,100,1,3.800304984,0.791460486,london
48,154.5191561,Private room,FALSE,2,10,99,1,11.27514532,2.713235431,london
49,226.9573602,Entire home/apt,FALSE,2,8,80,0,3.678835905,0.362326694,london
50,322.2088948,Private room,FALSE,2,10,100,1,4.595032598,0.296897484,london
51,1666.078694,Entire home/apt,FALSE,6,9,90,3,5.349647442,0.37571869,london
52,180.3899433,Private room,FALSE,2,10,95,1,5.102442486,1.013719946,london
53,412.286272,Entire home/apt,FALSE,4,10,100,2,3.538608893,0.513620223,london
54,481.9022084,Entire home/apt,FALSE,3,10,95,1,1.768766492,0.225017792,london
55,128.8835579,Private room,FALSE,4,9,93,1,4.534020147,1.772816619,london
56,232.1315177,Entire home/apt,FALSE,2,8,80,0,3.687524081,0.351731439,london
57,451.0924528,Entire home/apt,FALSE,4,9,97,1,3.405592328,1.423049837,london
58,257.7671159,Entire home/apt,FALSE,3,8,74,0,3.746651127,0.41755489,london
